day;t0;ten;h0;hend;cloudtype;notes;extra
01;153000;190000;0;7;MPC, DRIZ, LLLC;"LLLC 1700-0019 UTC, 1-2km ALT; DRIZ 1730-1800UTC, 0-2.4km ALT; MPC 1600-1900 UTC 2,5-6km ALT";
01;203000;235955;0;2;LLLC;"LLLC 1930-2400 UTC, 0.5-2km ALT;";
02;003000;023000;0;2;LLLC, DRIZ;"LLLC including DRIZ 0300-0230 UTC, 0-2km ALT;";
02;023000;040000;2;3;LLLC;LLLC 0230-0400 UTC at 2-3km ALT, CN detects aerosol&insects at 0300-0330 UTC;
02;130000;203000;1;7;MPC, LLLC, DRIZZ;"longer timeframe containing MPC; LLLC at 1800UTC at 2km ALT; small amounts of DRIZZEL";
02;203000;235955;0;10;DCS;DCS with cloud top at 8km ALT, meltinglayer at 2km;
03;000000;020000;0;10;DCS;DCS with cloud top at 8-9km ALT, meltinglayer at 1.5km;missing data
03;020000;040000;0;3;DRIZ, MPC, LLLC;"small DRIZ event CT at 2.5km ALT; smaller LLLC at 0330UTC at 0.5km ALT";missing data
03;040000;060000;0;7;MPC, LLLC, DCS;"beginning of DCS, LLLC at 0.5-1km ALT; MPC at 4-6km ALT";missing data
03;060000;084500;0;11;DCS;wet radome;missing data
03;175500;235955;0;11;DCS;wet radome;missing data
04;;;;;;;no ANN output
05;;;;;;;no ANN output
06;;;;;;;no data
07;023000;084500;1;4;MPC;patchy MPC ;
07;085000;123000;0;10;DCS;cloudnet detects CD in DRIZ;
07;123000;154500;0;2;LLLC;thick LLLC below 2km;
07;155000;180000;0;5;DRIZ;DRIZ cloud CT at 4 km;
07;180000;233000;0;3;DRIZ;small showers  and LLLC at melting layer height;
08;;;;;;;no data
09;000000;051500;0;10;DRIZ, MPC, LLLC, …;multiple different cloud types, cloud above 4 km mostly ice?;
09;061500;184500;0;4;MPC, LLLC;longer period of MPC and LLLC, above thin cirrus clouds;
09;184500;203500;0;10;LLLC, DRIZ, CIR;small shower at 1900UTC ;
10;;;;;;;no ANN output
11;;;;;;;no ANN output
12;050000;150000;0;11;DCS;starts low, increasing CT after 0900UTC;
13;130000;160000;0;10;CIR  ;higher level cloud, small amounts of SCL;
13;183000;204500;0;6;MPC;single MPC cloud;
14;000000;083000;0;11;CIR  ;longer period of CIR clouds, small amounts of SCL?;
14;083000;143000;0;11;MPC, DRIZ;patchy MPC, DCS stats forming at 1200UTC;
14;143000;210000;0;11;DCS;;
14;210000;214500;0;3;LLLC, DRIZ, DCS;mixture of LLLC, remainings of DCP and DRIZ, looking only at max 3km ALT;
14;214500;235955;0;11;DCS, DRIZ;more DRIZ form DCS, also CD and SCL detected by cloudnet;
15;000000;123000;0;10;DCS, DRIZ;continuning DCS, cloudnet detects some CD within DRIZ (missclassification?);
15;123000;190000;0;3;DRIZ, MPC, …;weird classification (is all DRIZ?), MPC above melting layer;
15;200000;235955;0;10;DCS;"developing DCS; ";
15;200000;235955;0;3;LLLC;small LLLC at 1.5km ALT;
16;000000;033000;0;10;DCS, LLLC;DCS continuues, no DRIZ in this time frame;
16;033000;220000;0;10;DCS, DRIZ;long DCS, cloudnet detecting some CD in DRIZZ and slightly above melting layer;almost no LWP available
17;000000;023000;0;2;MPC, LLLC, DRIZZ;low level cloud including short period of DRIZ, CT below 2km ALT;
17;023000;050000;0;3;MPC, DRIZ;precipitating low level cloud CT below 2.5km;unreliable LWP
17;050000;093000;0;2;MPC, DRIZ, CD;low level cloud including short period of DRIZ, CT below 2km ALT;reliable LWP
17;103000;143000;0;2;LLLC;single layer low level liquid cloud;
17;143000;235955;0;4;MPC, DRIZ;lower level clouds with precipitation, between precip. smaller LLLC, odd target classification (vertical stripes);
18;030000;060000;0;9;MPC, DRIZ;SCL at 3km ALT untill 4UTC, mostly ice;
18;060000;132500;0;10;MPC, DRIZ;at least 2 cloud layers, including DRIZ, gap between 2.5-5km ALT, above only ice?;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;